katamajemuk,label,is_kata_dasar,kata_dasar_1,kata_dasar_2
anak torak,1,0,anak,torak
anak uang,1,0,anak,uang
batang air,1,0,batang,air
batang dacing,1,0,batang,dacing
batang leher,1,0,batang,leher
batang tubuh,1,0,batang,tubuh
biang cuka,1,0,biang,cuka
biang jari,1,0,biang,jari
biang keladi,1,0,biang,keladi
biang keringat,1,0,biang,keringat
biang tangan,1,0,biang,tangan
bibir belangan,1,0,bibir,belangan
bibir cangkir,1,0,bibir,cangkir
bibir cawan,1,0,bibir,cawan
bibir jalan,1,0,bibir,jalan
bibir sumur,1,0,bibir,sumur
buah baju,1,0,buah,baju
buah betis,1,0,buah,betis
buah catur,1,0,buah,catur
buah dacing,1,0,buah,dacing
buah dada,1,0,buah,dada
buah guli,1,0,buah,guli
buah hati,1,0,buah,hati
buah lengan,1,0,buah,lengan
buah mata,1,0,buah,mata
buah pantat,1,0,buah,pantat
buah pelir,1,0,buah,pelir
buah pinggang,1,0,buah,pinggang
buah zakar,1,0,buah,zakar
daun neraca,1,0,daun,neraca
daun pintu,1,0,daun,pintu
daun telinga,1,0,daun,telinga
hidung kapal terbang,1,0,hidung,kapal
hidung mobil,1,0,hidung,mobil
ibu jari,1,0,ibu,jari
ibu kaki,1,0,ibu,kaki
ibu kota,1,0,ibu,kota
ibu negeri,1,0,ibu,negeri
ibu panah,1,0,ibu,panah
ibu tangan,1,0,ibu,tangan
induk bala,1,0,induk,bala
induk beras,1,0,induk,beras
induk bunga,1,0,induk,bunga
induk jari,1,0,induk,jari
induk kaki,1,0,induk,kaki
induk kalimat,1,0,induk,kalimat
induk karangan,1,0,induk,karangan
induk karbol,1,0,induk,karbol
induk kereta api,1,0,induk,kereta
induk madu,1,0,induk,madu
induk padi,1,0,induk,padi
induk roti,1,0,induk,roti
induk rumah,1,0,induk,rumah
induk semang,1,0,induk,semang
induk tangan,1,0,induk,tangan
induk tentara,1,0,induk,tentara
induk utang,1,0,induk,utang
indung madu,1,0,indung,madu
indung mutiara,1,0,indung,mutiara
indung sutera,1,0,indung,sutera
indung telur,1,0,indung,telur
jantung paha,1,0,jantung,paha
jantung pisang,1,0,jantung,pisang
jantung tangan,1,0,jantung,tangan
kaki gunung,1,0,kaki,gunung
kaki langit,1,0,kaki,langit
kaki meja,1,0,kaki,meja
kepala air,1,0,kepala,air
kepala arwah,1,0,kepala,arwah
kepala bagian,1,0,kepala,bagian
kepala bahu,1,0,kepala,bahu
kepala balok,1,0,kepala,balok
kepala daerah,1,0,kepala,daerah
kepala jara,1,0,kepala,jara
kepala kain,1,0,kepala,kain
kepala kampung,1,0,kepala,kampung
kepala karangan,1,0,kepala,karangan
kepala keluarga,1,0,kepala,keluarga
kepala kereta api,1,0,kepala,kereta
kepala kodi,1,0,kepala,kodi
kepala kongsi,1,0,kepala,kongsi
kepala kue,1,0,kepala,kue
kepala nasi,1,0,kepala,nasi
kepala negara,1,0,kepala,negara
kepala negeri,1,0,kepala,negeri
kepala paha,1,0,kepala,paha
kepala pasukan,1,0,kepala,pasukan
kepala payung,1,0,kepala,payung
kepala perampok,1,0,kepala,perampok
kepala perang,1,0,kepala,perang
kepala pulau,1,0,kepala,pulau
kepala racun,1,0,kepala,racun
kepala regu,1,0,kepala,regu
kepala soda,1,0,kepala,soda
kepala santan,1,0,kepala,santan
kepala sarung,1,0,kepala,sarung
kepala sekolah,1,0,kepala,sekolah
kepala stasiun,1,0,kepala,stasiun
kepala suku,1,0,kepala,suku
kepala surat,1,0,kepala,surat
kepala susu,1,0,kepala,susu
kepala tahu,1,0,kepala,tahu
kepala tahun,1,0,kepala,tahun
kepala terompah,1,0,kepala,terompah
kepala tongkat,1,0,kepala,tongkat
kepala tungku,1,0,kepala,tungku
mata air,1,0,mata,air
mata alamat,1,0,mata,alamat
mata anggaran,1,0,mata,anggaran
mata angin,1,0,mata,angin
mata ayam,1,0,mata,ayam
mata bajak,1,0,mata,bajak
mata bedil,1,0,mata,bedil
mata beliung,1,0,mata,beliung
mata benda,1,0,mata,benda
mata bisul,1,0,mata,bisul
mata buku,1,0,mata,buku
mata bulan,1,0,mata,bulan
mata cangkul,1,0,mata,cangkul
mata cincin,1,0,mata,cincin
mata dabus,1,0,mata,dabus
mata dacing,1,0,mata,dacing
mata dagangan,1,0,mata,dagangan
mata duli,1,0,mata,duli
mata gunting,1,0,mata,gunting
mata hati,1,0,mata,hati
mata huruf,1,0,mata,huruf
mata jala,1,0,mata,jala
mata kail,1,0,mata,kail
mata kain,1,0,mata,kain
mata kaki,1,0,mata,kaki
mata kayu,1,0,mata,kayu
mata kerek,1,0,mata,kerek
mata keris,1,0,mata,keris
mata kuliah,1,0,mata,kuliah
mata luka,1,0,mata,luka
mata meriam,1,0,mata,meriam
mata pahi,1,0,mata,pahi
mata panah,1,0,mata,panah
mata pangkur,1,0,mata,pangkur
mata pedang,1,0,mata,pedang
mata pedoman,1,0,mata,pedoman
mata pelajaran,1,0,mata,pelajaran
mata pencarian,1,0,mata,pencarian
mata petir,1,0,mata,petir
mata pisau,1,0,mata,pisau
mata rantai,1,0,mata,rantai
